EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
BLOOMBERG LP,EXCHANGE REPRESENTATIVE,50000.00,"NEW YORK, NY",3/7/16,7/15/16,DENIED
BLOOMBERG LP,SOLUTIONS MANAGER,58500.00,"CHICAGO, IL",5/16/16,5/25/16,CERTIFIED
BLOOMBERG LP,GD DATA ANALYST,60000.00,"NEW YORK, NY",3/15/16,9/1/16,CERTIFIED
BLOOMBERG LP,REPORTER,60000.00,"NEW YORK, NY",2/19/16,7/15/16,CERTIFIED
BLOOMBERG LP,RESEARCH ASSOCIATE,60000.00,"NEW YORK, NY",3/4/16,7/15/16,DENIED
BLOOMBERG LP,TALENT EXPERIENCE SPECIALIST,62000.00,"NEW YORK, NY",3/22/16,9/15/16,CERTIFIED
BLOOMBERG LP,ADSK REPRESENTATIVE,63500.00,"NEW YORK, NY",3/8/16,9/1/16,CERTIFIED
BLOOMBERG LP,RESEARCH ASSOCIATE,65000.00,"NEW YORK, NY",3/14/16,7/15/16,CERTIFIED
BLOOMBERG LP,BNEF SALES ASSOCIATE,66000.00,"NEW YORK, NY",3/9/16,4/1/16,CERTIFIED
BLOOMBERG LP,REPRESENTATIVE INSTALLATIONS,66685.00,"NEW YORK, NY",2/11/16,8/1/16,CERTIFIED
BLOOMBERG LP,ELECTRONIC TRADING TECHNICAL REPRESENTATIVE,70000.00,"NEW YORK, NY",2/22/16,7/11/16,CERTIFIED
BLOOMBERG LP,ETI REPRESENTATIVE,70000.00,"NEW YORK, NY",3/7/16,7/15/16,CERTIFIED
BLOOMBERG LP,TRADE DESK ANALYST,70000.00,"SAN FRANCISCO, CA",3/18/16,7/15/16,CERTIFIED
BLOOMBERG LP,UNIX TECHNICIAN,70000.00,"DAYTON, NJ",3/2/16,9/1/16,CERTIFIED
BLOOMBERG LP,SOFTWARE QUALITY ASSURANCE IMPLEMENTATION DEVELOPER,74500.00,"NEW YORK, NY",3/9/16,8/15/16,CERTIFIED
